"package_version","license","used_in","publisher","repository"
"react-is@16.13.1","MIT","dashboard;extension","","https://github.com/facebook/react"
"react-is@18.3.1","MIT","dashboard","","https://github.com/facebook/react"
"react-joyride@2.9.3","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/react-joyride"
"react-kapsule@2.5.7","MIT","dashboard","Vasco Asturiano","https://github.com/vasturiano/react-kapsule"
"react-remove-scroll-bar@2.3.8","MIT","dashboard;extension","Anton Korzunov","https://github.com/theKashey/react-remove-scroll-bar"
"react-remove-scroll@2.6.3","MIT","dashboard;extension","Anton Korzunov","https://github.com/theKashey/react-remove-scroll"
"react-router-dom@6.27.0","MIT","dashboard","Remix Software","https://github.com/remix-run/react-router"
"react-router-dom@6.30.0","MIT","extension","Remix Software","https://github.com/remix-run/react-router"
"react-router@6.27.0","MIT","dashboard","Remix Software","https://github.com/remix-run/react-router"
"react-router@6.30.0","MIT","extension","Remix Software","https://github.com/remix-run/react-router"
"react-smooth@4.0.4","MIT","dashboard","JasonHzq","https://github.com/recharts/react-smooth"
"react-style-singleton@2.2.3","MIT","dashboard;extension","Anton Korzunov","https://github.com/theKashey/react-style-singleton"
"react-transition-group@4.4.5","BSD-3-Clause","dashboard","","https://github.com/reactjs/react-transition-group"
"react@18.3.1","MIT","dashboard;extension","","https://github.com/facebook/react"
"reactflow@11.11.4","MIT","dashboard","","https://github.com/xyflow/xyflow"
"readable-stream@2.3.7","MIT","backend;extension","","https://github.com/nodejs/readable-stream"
"readable-stream@3.6.2","MIT","backend;extension","","https://github.com/nodejs/readable-stream"
"recharts-scale@0.4.5","MIT","dashboard","recharts group","https://github.com/recharts/recharts-scale"
"recharts@2.15.2","MIT","dashboard","recharts group","https://github.com/recharts/recharts"
"redis@5.11.0","MIT","backend","","https://github.com/redis/node-redis"
"redux-devtools-extension@2.13.9","MIT","extension","Mihail Diordiev","https://github.com/zalmoxisus/redux-devtools-extension"
"regenerator-runtime@0.14.1","MIT","dashboard;extension","Ben Newman","https://github.com/facebook/regenerator/tree/main/packages/runtime"
"require-directory@2.1.1","MIT","backend;extension","Troy Goode","https://github.com/troygoode/node-require-directory"
"resolve-from@4.0.0","MIT","backend;dashboard;extension","Sindre Sorhus","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.10","MIT","dashboard;extension","James Halliday","https://github.com/browserify/resolve"
"rimraf@3.0.2","ISC","backend","Isaac Z. Schlueter","https://github.com/isaacs/rimraf"
"rrweb-cssom@0.8.0","MIT","backend","Nikita Vasilyev","https://github.com/rrweb-io/CSSOM"
"safe-buffer@5.1.2","MIT","backend;extension","Feross Aboukhadijeh","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","backend;extension","Feross Aboukhadijeh","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","backend;dashboard;extension","Nikita Skovoroda","https://github.com/ChALkeR/safer-buffer"
"saxes@6.0.0","ISC","backend","Louis-Dominique Dubeau","https://github.com/lddubeau/saxes"
"scheduler@0.23.2","MIT","dashboard;extension","","https://github.com/facebook/react"
"scroll-into-view-if-needed@3.1.0","MIT","dashboard","Cody Olsen","https://github.com/scroll-into-view/scroll-into-view-if-needed"
"scroll@3.0.1","MIT","dashboard","Michael Rhodes","https://github.com/michaelrhodes/scroll"
"scrollparent@2.1.0","ISC","dashboard","Ola Holmström","https://github.com/olahol/scrollparent.js"
"semver@6.3.1","ISC","backend","GitHub Inc.","https://github.com/npm/node-semver"
"semver@7.7.1","ISC","backend;extension","GitHub Inc.","https://github.com/npm/node-semver"
"send@0.19.0","MIT","backend","TJ Holowaychuk","https://github.com/pillarjs/send"
"seq-queue@0.0.5","MIT*","backend","changchang","https://github.com/changchang/seq-queue"
"serve-static@1.16.2","MIT","backend","Douglas Christopher Wilson","https://github.com/expressjs/serve-static"
"set-blocking@2.0.0","ISC","backend","Ben Coe","https://github.com/yargs/set-blocking"
"set-function-length@1.2.2","MIT","backend","Jordan Harband","https://github.com/ljharb/set-function-length"
"setprototypeof@1.2.0","ISC","backend","Wes Todd","https://github.com/wesleytodd/setprototypeof"
"sharp@0.33.5","Apache-2.0","backend","Lovell Fuller","https://github.com/lovell/sharp"
"shebang-command@2.0.0","MIT","backend;extension","Kevin Mårtensson","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","backend;extension","Sindre Sorhus","https://github.com/sindresorhus/shebang-regex"
"side-channel@1.0.6","MIT","backend","Jordan Harband","https://github.com/ljharb/side-channel"
"signal-exit@3.0.7","ISC","backend","Ben Coe","https://github.com/tapjs/signal-exit"
"simple-concat@1.0.1","MIT","extension","Feross Aboukhadijeh","https://github.com/feross/simple-concat"
"simple-get@4.0.1","MIT","extension","Feross Aboukhadijeh","https://github.com/feross/simple-get"
